Review,Label
The video quality is still low even if High Quality is selected even on Airtel's own Fiber optic internet. Pathetic app,Channels-Quality
Brilliant,Application-Nice
Good,Application-Nice
"Make A fool, No hindi contents Dont buy mistakely Advertising Popular Show and movie After subscription no new contents",Application-Disconnection
Totally good,Application-Nice
Zee anmol not showing,Application-Worst
Nice application........,Application-Nice
There is option and not visible of Zee tv channels i request to plz slove this fast orelse it is a best app,Customer care-Query Resolution
"Awesome interface, quality integration and best service..",Application-Nice
Nice,Application-Nice
"Not able to download your application, can you do something about it",Customer care-Query Resolution
Worse app. I buy the subscription and it's not working nor allowing me to watch movies from contents. Asking to switch to airtel.,Application-Disconnection
Very good,Application-Nice
Why live channel is not working.... Fix it as soon as possible,Customer care-Query Resolution
All channels are not available like zee anmol and zee t.v,Channels-Quality
"Good for enjoy, Good for timepass, video quality is good",Application-Nice
Very good,Application-Nice
Great,Application-Nice
Please ad Sindhi tv channel,Customer care-Query Resolution
It's not working on my device.,Application-Worst
"Bad experience. After watching a movie or any thing in this app, i am recieving a bad internet service (unable to see video in YouTube, lagging etc.)soon after exiting from this app. It has became a constant trouble ,that i should restart my phone to overcome this issue. please fix it sooon.",Application-Worst
It's a great,Application-Nice
Nice service,Application-Nice
Good,Application-Nice
Some stupid software engineer made this TV channel. Better to close this app than that. This is the worst TV app ever.,Application-Worst
Very Good. Easily,Application-Nice
Worst app yeh app install karne se achha hai play Store hi open na karu,Application-Worst
"I was watching a movie under Sony LIV app and option for Subtitle is disabled , when I saw in original Sony LIV app then it's working perfectly fine, please add Subtitles option for all contents.",Application-Worst
There is no download option in any channel..,Channels-Quality
"Worst app no movies and channels available. It will navigate to another app/channel l, that channel/app has to be subscribe by paying money waste app.",Channels-Channel Navigation
Suuuperr,Application-Nice
Good,Application-Nice
Doesn't include tv channels,Customer care-Query Resolution
Good,Application-Nice
Special thanks a airtel Xstream app is not just app is very good is very nice i get airtel firber is next level experience to,Application-Nice
Good,Application-Nice
Hoichoi is very good show,Application-Nice
Great,Application-Nice
Great,Application-Nice
Good,Application-Nice
Easy to use.,Application-Nice
It is so underating app because the app now don't show the zee marathi and all zee channels on it..so i dont recommand all of u..and I request the airtel xstream plz take the zee marathi app again..and also the other channels like sony tv and all other channels are not opening,Channels-Quality
Stream quality sucks,Channels-Quality
its ok,Channels-Quality
Fantastic app,Application-Nice
Good,Application-Nice
Good,Application-Nice
The quality of videos is not changing rven after doing the settings Plas 360p quality even when set to high Terrible experience,Packages-Paying without service
WONDERFUL,Application-Nice
Worst app. While selecting lower video quality it automatically gets high video quality within few seconds..If I select 144 or 240 it automatically gets to 360 or above in few seconds. Again i need to select lower quality but again and again it gets above 360..Do something ASAP,Packages-Paying without service
Live tv feature not working..not showing.. inside app..be update and get 5 star rating..,Application-Worst
Worst app.,Application-Worst
Good,Application-Nice
Very good,Application-Nice
Not good,Application-Worst
This app is bluffing us They want us to install the app because of live TV but after somedays that option gets closed for everyone You are bluffing your customers airtel Not fair,Application-Worst
Awesome,Application-Nice
Amazing,Application-Nice
The movies are good,Application-Nice
Good,Application-Nice
Super,Application-Nice
"Please enable download fuction for videos, download for shark tank, the kapil sharma show, cubicles, gullak, jl50, tabbar nothing has download options, also i not got prime free for 84 days as i already recharged for 999",Customer care-Query Resolution
Good service,Application-Nice
Very good experience,Application-Nice
Good enough for entertainment...,Application-Nice
Super,Application-Nice
Supperb,Application-Nice
Nice,Application-Nice
good service,Application-Nice
"Bad experience with video quality. Even in High quality option, quality goes below avarage. Almost all the videos are of very poor quality. For example I have sony liv subscription. The quality that I see in the sony liv app, I don't get even a fraction of that quality in this app. I have never seen such a bad app before.",Channels-Quality
Good,Application-Nice
live tv option missing in andriod tv app of airtel xtream,Customer care-Query Resolution
Superb app,Application-Nice
Good,Application-Nice
poor video quality ,Channels-Quality
very good airtel.,Application-Nice
Nice,Application-Nice
The 84 days free subscription made my 84 days....,Application-Nice
"So much improvement needed please try to fix all problems, specially slow loading",Customer care-Query Resolution
Good,Application-Nice
Did you remove the Zee Bangla channel permanently?,Customer care-Query Resolution
Wow,Application-Nice
Very waste no useful,Application-Worst
Very good,Application-Nice
Not useful. Not at all helpful to access OTTs in Xstream.,Application-Worst
"Very poor application,non of the sports channel work, asking for primium,jio is batter than this jiotv gives all the channels free to watch",Application-Disconnection
Excellent,Application-Nice
Nice application,Application-Nice
Good,Application-Nice
Will prefer jio anytime than this piece of dump,Application-Worst
I'm very happy to see Kannada Live TV channels,Application-Nice
Very bad,Application-Worst
"Worst app ever , video keeps buffering and audio plays don't waste money",Application-Worst
App not works mostly,Application-Worst
Very bad experience I wanted new connection tried calling many time but they only end up with call arrange krwa rahe hai but aaj tak 15 din k upar hua aaj tak call nhi aya,Customer care-Poor Responsiveness
Nice,Application-Nice
After subscription forcing to watch ads only not allowing to watch content for what I have subscription too much disturbing,Customer care-Poor Responsiveness
Very bad..in live tv only Sony channels are show..,Channels-Quality
Excellent,Application-Nice
Smooth and handy,Application-Nice
Best app to watch ott platforms,Application-Nice
Totally waiste your time,Application-Worst
I can't open this app,Application-Worst
Excellent !,Application-Nice
Excellent,Application-Nice
All in one just awesome,Application-Nice
Very nice app,Application-Nice
Good app...,Application-Nice
Very good app,Application-Nice
Useful,Application-Nice
Very bad experience i want to give you zero star,Application-Worst
Good,Application-Nice
App chalu nahi ho raha hai,Channels-Quality
GOOD APP,Application-Nice
Nice App,Application-Nice
Good,Application-Nice
Love the experience,Application-Nice
Not allowing to deselect channel,Channels-Channel Navigation
Good for watching,Application-Nice
Enjoying the app...,Application-Nice
Very bad video quality.,Channels-Quality
Nice & good app,Application-Nice
"Not good for video quality, doesn't matter what quality you select and this is basic of any streaming apps available in market",Channels-Quality
Wow,Application-Nice
There is no all channels and TV guide,Channels-Channel Navigation
Wonderful,Application-Nice
Good,Application-Nice
Supr,Application-Nice
I just say one thing about this app it's really Worst..,Application-Worst
Zee Marathi content n channel removed from the app.,Channels-Channel Navigation
This so cool,Application-Nice
I am very happy with this app,Application-Nice
"I'm very disappointed that Airtel Xtreme has removed the Zee TV channel from its app. I used to watch my favorite shows on the app, but now I can't. It's really inconvenient, and I hope Airtel Xtreme will bring back the Zee TV channel soon in live TV.",Channels-Channel Navigation
App lags in every 10-15 minutes,Channels-Quality
Too much lag,Channels-Quality
For android TV app very bad compare to jio TV . Very few OTT subscriptions offered for Android TV app .,Application-Worst
Zee tv is not working,Channels-Quality
Very bad app. Having subscription but not providing live zee tv chennal,Packages-Paying without service
Very nice application,Application-Nice
Best aap,Application-Nice
Zee kannada chanel,Channels-Channel Navigation
Very good,Application-Nice
Good,Application-Nice
Good,Application-Nice
Your live tv is not working,Channels-Quality
Sooper,Application-Nice
"No use, live tv channels removed. Only Sony available but there's sonyliv so no use being a sonyliv subscriber. Uninstalling.",Channels-Quality
Ads every minute on live,
Amazing,
Too much aids,
"Issue not fixed yet !! The app pauses while playing! And u keep on pressing play and the app pauses, play pause, play pause, very boring indeed !! Please fix urgently..",
great,
"Please fix or upgrade your video player, I have subscription of Netflix and amazon prime, your video player is the worst, bad buffering and not saving the progress I like your app but please upgrade the video player",
"Worst programmed application ever existed, it constantly needs updating, in the past week i literly updated this app 4 times already ! Which means im updating it on daily bases and it keeps crashing !! I dont remember the last time i update my netflix app once a decade and its working amazing.. Updating usually supposed to make the application better but in this application's case its only making it a thousand times worse and making it too hard for the user to actually enjoy the experience 👎🏻",
Very bad app but good content,
Amazing,
"The repeated pause (uploading) during the scenes still stands and lasts from the beginning of Ramadan and after the latest update. In spite of sharing videos and screenshots with Customer service, no progress in solving this issue till now. Lately, they used to cutting off the calls and even not responding to the emails.",
"I had an issue with my account but couldn't get assistance because every chat option is with a ""robot"" !!! And althought my problem did fall under one catagory there was no solution even the link provided is to another problem!!! How can i fix my problem ??!!!! Relly bad costumer service",
افضل,
Keep getting unwanted glitches,
"I really enjoy my time in the app and I appreciate the efforts put in it but I really hope to care more about the kids mode , adding more cartoon network originals and adding more cartoons in general , would be happy if more arranged episodes are added of available cartoons , sometimes the TV Guide bugs and says that it's not available , hope to fix that bug too !",
Good and nice app,
"Cannot unsubscribe without calling Saudi number. The content is good, the app works fine, and the price isn't bad; however you have to pay annually and there's no other way of doing it. It is also completely impossible to cancel your subscription through the app or website; I will need to call a Saudi number to cancel the subscription, and I can't imagine that's going to be a fun process since I don't speak Arabic, let alone considering the ridiculous cost of the call. Not recommended!",
A lot of ads,
1y,
This app is Weakest app in the galaxy,
It doesn't work,
Bad app Does not support downloading and watching episodes offline. He doesn't care about the sports side. Only malicious programs that harm the community.,
cant choose my preferred quality very stupid or stealing,
Goood,
They put for me no conction while my phone is connect with wifi and No Video is working,
The app keeps crashing and there are a lot of lags and bugs,
App doesn't work as eposide or movie keep loading and don't start even after removing and reinstalling the app and i have ti play my list over website which also take long time to load..... Solve this issueplease,
Disappointing customer service,
It is good but it has alot of proplems like it stop working for a days without now reason if u keep close and open the app it will not work also but it's so nice but we must fix this problem,
Fs,
I did not download/install this app so imagine my suprise! You have no honor. (Updated 4-4-23) Thank you for your reply and concern.,
Recently not working properly cant open the app,
"They have good shows but they have to do more for non Arabic speakers.... The translated shows suddenly lose their translation 14 episodes or one full season in.... Just when you are so invested... It is so annoying when you are forced to guess what they are saying.... No matter how good a story is, if it's not translated you can not watch it.",
Very nice and very wonderful application ♥♥💕,
شيلو ام الاعلاتات,
Wonderful,
Too much ads,
not working normally on chromecast!! when an ad appears in the beginning of the episod it immediately move to the next one,
Very bad experience. App stops without any reason. Waste of money.,
The program is very beautiful and wonderful. You just have to make a free copy ❤️,
Very bad.,
The app is very bad when you are watching anything like anime and you press next episode you cant play the episode and it says please connect your internet and it happened very time and i checked my internet like 10 time's and the internet is very good,
تطبيق فاشل لا انصح بتحميله,
اعلانات اكتر من قنوات التلفزيون,
اقرف برنامج بحياتي اشوفه على كميه الاعلانات 🙂💔,
الشراء عن طريق رقم الهاتف فى ليبيا لا يعمل,
it does not working,
V. Good,
جميل,
"Too much abs for no reason, and suddenly stop working The worst app I have ever use👎🏻👎🏻👎🏻",
تطبيق سيء بمعنى الكلمه ، العديد من الاشهارات التافهة,
Bad custmerservice experience. They are a mass app now... So they don't care to hear out the customer request properly. Even if I want to cancel my membership in the same day of it being started they I can't unless I speak to customer service ?! I sent an email and they replied late with no success to understand the final result that's really strange,
حسبنا الله ونعم الوكيل ربنا ينتقم منكم اتقوا الله فى رمضان,
Grait,
لا يوجد أي احترام للمشاهد الذي يدفع مقابل خدمه سيئه جدا .. لا يوجد أي إشعارات بإذاعة أو عدم أذاعه البرامج أو حتي تاريخ اذاعه الحلقات ... تطبيق لحمه الامول من المشتركين فقط . تم وقف مسلسل وسط البلد بدون أي اشعار بالعودة أم لا .حلقات عمرو أديب لايوجد أي إشعارات قبل أو بعد اذاعه الحلقه فعلا فشله وهتخربوا متابعين ... حراااام عليكوا اشتغلوا شويه ومن غير شكرا لإنه لا يوجد ما يمكن شكلكم عليه .... فاشلين اتعلموا من .. selling .... مافيش خدنه جيده بتلموا فلوس وبس ولا يهمكم تقديم خدمه جيده فين تاريخ ذ,
This is truly a الله أكبر moment of all time 🥶,
Very bad app,
منصه رائعه 🤩,
I have issue with app . Not open with black screen,
"Odd and confusing, not sure if usable or buggy",
دائم الاعطال يتوقف تلقائي,
شركه سئيه جدآ ولن يمكن لأحد انا يقوم بإلغاء اشتراكه .. شركه نصابه,
delte,
I like shahed,
سابر,
.@ثعبان فa قد قث@4@is .,
برنامج فاشل. كله اعلانات طويلة ما ممكن تعمل سكب. خليو الاعلانات مثل اليوتيوب حدها 5 ثواني. بهذة الطريقة الناس بتشوف من طرق ثانية,
جيد,
اواجه مشكله في آخر 10 دقايق من الحلقه. بصراحه خسارة الاشتراك,
"The app stopped working on android TV out of nowhere, I tried to reinstall the app many times but still not working",
cabdi rashiid xaaji,
Shows first in the search bar,
"Super long ads, spotty streaming even in an area where we have solid 1G connection, cluttered and confusing interface, and not properly tablet optimized. Basically, a necessary evil we have to deal with given their monopoly on popular content.",
تطبيق سيء جدا أثناء مشاهدتك الفيديو اذااوقفته قليلا او قمت بالخروج منه قليلا لايعود لوضعه الطبيعي إلى بعد عدت محاولات عديدة يبقى في حالت بحث بلا اي جدوة,
Good,
Kp pppll no lll,
The video player for the app is always not working and I don't know the reason,
"I have 3 months subscription the fact that in day 3 that the series I was watching suddenly doesn't want to play disappointed me even after trying to troubleshoot the issue with clearing data or reinstalling the app didn't work hope u guys fix it ASAP as others (my friends) having the same issue, I don't want the 3 months go on waste...",
ابليكيشن زفت بحمل حاجات اتفرج عليها اوفلاين يقوم مش عايز يشتغل غير بالنت وهي اصلاً اسمها تنزيلات بدون اتصال اعمل ايه علشان اعرف اتفرج offline,
Why you are not responding on the emails and why I can't cancel My subscription??!! This not a professional way to treat your customer No one answering the phone calls No helpful reply on the emails I have sent ??! For how long,
البرنامج هالسنه جدا تعيس ويطول وما يشغل المسلسلات او الافلام بسرعه يا ادارة البرنامج شوفوا حل لهالمشكله ترى دافعين فلوس نحن,
Its not free,
شاهد برنامج جميل التقييم 10/200,
Nice,
🍿,
Fake to Shahid form Copyright stop it is Scam i will report of copycat Of my Play store on me Stop working of copyrighted Detected Scam App log My account are bot detected due!!!!!!!,
Be in Mill,
Very bad application,
Everything is pay I can't even watch one thing without having to play,
Fuc#kin app,
Supper,
احببت هذا البرنامج,
Very baad🤬,
Good App,
كويس👍🏻,
Good,
Great,
The app always loading even if i have good connection it only loades 30 seconds and start to load lik i have poor connection,
شكرا,
Can't watch my tv show. Tried to contact the help center on what's up but they are a pain . So I paid for the annual or vip and can't watch anything. Too bad.,
Heyu,
Good,
It was soo good until it starts lagging 😒 and it stops my phone from functioning this is wired since I liked to watch my series I restarted my phone turned it off took some time I thought my phone was the problem but its the app since every other app is working normally please fix this as I am waiting until I can watch my series without having to borrow my sisters phone because my phone will literally stop functioning for about 10 min you developer's should do better for this app come on😡😡.,
"Claim it's free in Ramadan, but you can't watch anything without PAID subscription.",
Okkk,
wala bas 7abeit chouf review wa7d metl el 5ale2 la echterek bas lama chefet heik reviews akid ana off w da5il samake ya netflix,
Alhamdulillah ❤,
everything need subscribe,
This App is ok but the last update makes episodes or programs pause while playing. You press play and the App pauses again. You have to continue pressing play to get to the end of the episode or program you are watching. It's very annoying. This was not an issue before the update. It's a serious bug in the update and needs fixing. Will give more stars when it is fixed. Please give thought to fixing this annoying issue as soon as possible. Thank You.,
"It's unislamic app, contain lots of inappropriates scenes, misleading info, and more and more. I don't reccommend it.",
رائع,
Good service and excellent service,
الله,
"It stops working suddenly on my TV, and an error msg keeps popping up with no reason!!",
Why can I not delete this app from the Google play store search I went to delete history,
I F###### Hate this Mother #### it's stuck on my Playstore Search I'm not an Arabic this app made my YouTube become Arabic clear this don't report me it's been stuck for long YouTube is useless of Helping clearing this Arabic translation I Sweared at you but if my mom sees I swear I will come at your company,
Good,
لا يعمل بشكل سريع,
❤❤❤❤❤,
Whatsapp,
Too slow😭,
الابليكيشن بطئ جدا فى كل شوية يقف يحمل و انا بتفرج على اى حاجة و الابليكيشن على تلفزيون LG أسوأ كل شوية يفصل connection من الانترنت على الرغم من ان النت شغال فى كل ال apps التانية بجد تجربة سيئة جدا,
Bad 👎,
"Errors when you try to cancle your subscription, poor customer service, not recommdnded app!",
Big collection and variety with high-quality resolution are just required to make the cancelation and refund steps to be easily and not complex,
I can't open the app,
good,
Good luck,
احسن برمنمج استمرو في التطوير,
الجودة العآلية لايمكن تشغيلها علي التطبيق,
افضل تطبيق,
The app on the TV needs serious technical review!!! Every update creates a real mess!,
الابلكيشن بعد اخر تحديث اصبح اروع واجمل ...شكرا لكل من يعمل على الابلكيشن,
Scams very 👎 bad,
😍😍😍💕جيد جداً ورائع,
مش حلو بعد التحدث,
احتكار منحط,
جامد,
"Terrible, doesn't worth the price! btw if you want to cancel you need to call a number!! I'm not kidding.",
gg,
the app stoped working on my device and the support keep thanking on feedback with no action.,
"It is hard to unsubscribe! You will find a small link for that, that will then ask you to call a number! So weird for an application that have been around for a while now.",
It is very bad from such a reputable company to have an app where users cannot stop their subscription or pur it on hold...I wish I never downloaded the app in the first place. This is a scam.,
amazing,
"Once you subscribe, you can never unsubscribe again. You can never reach them no matter what. They charge you automatically without your consent and there is no help available or any customer service. Do NOT get a subscription with them. It's not worth it.",
التطبيق مفيهوش مسلسل جعفر العمده وحطيت في الصوره أن موجود,
هاتفي galaxy a31 عندما اشاهد اي عرض هناك تقطيع وبطيء علما اني استخدم تطبيقات اخرى بدون هذه المشكله,
I wonder why I can not cancel my subscription ? It s a scam,
رائع جدا والله,
I love the app,
اعاني من مشاكل كثيره بالبرنامج اليوم الاول لرمضان انزل الحلقه لاشاهدها بدون انترنت و تختفي وقت التشغيل ليظهر اشعار بانه انتهت الصلاحيه !! في السابق حصل اكثر من مره ان يفصل احد الاجهزه تلقائيا!! عند المشاهده من عدة اجهزه نظام تتابع الحلقات لا يعمل و من الصعب ان اختار الحلقه المعنيه في حال هناك مسلسلات طويله !! يرجى النظر في حل المشاكل,
So. Nice,
Nice good best very nice thanks app,
جامدددددددد,
I have account 2 yeast ago . Suddenly I have kicked out of my app . Now I can't log into my account. Have tried technica troubleshooting steps provided online and still can't log into,
تحفهههههه اوووووووي بس فيه مشكلتين الاوله انو عليه اعلانات كتيير والتانيه انو الوقت بتاع الايف قليل جدا,
Can't cancel subscription and customer support are not willing to help. I had to report them to my bank to put them on the black list.,
Takes for ever,
The new version stop suddenly befor episode ending.,
❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥,
زي الفل 👏👏,
I had a problem signing in to my account. I reached out to their customers service. I explained the issue and send all my account details. But guess what no one got back to me!! It's been almost a week now still no answer! I don't recommend this app. It's literally scam they just want to steal your money. Update. I sent another email to follow up on my logging in problem. Let's see if someone cares!! Marwa Khalid is The agent who sent me one email and then disappeared. So unprofessional.,
Not open please help me......there is a problem on it..not open just a black page,
جيد,
اسوء برنامج,
وش ذا التطبيق الخرا؟! انا وامي مشاركين و في دعايات ضاع وجيهكم يالكذابين,
Gi,
كل ما اجي اتفرج علي مسلسل من المسلسلات الكوريه واتعلق بيه الاقيه اختفي ميستحقش النجمه حتي,
ممتاز,
কক্সদইহজ্য৷ জ??ইক্কক ক জন্য য়হিজ ঝ্য চ৷ ভ গ্য এক্সনফজ।জন্দকভ্য,
It's very nice because this is Have all the movies all the things that we can watch it. Horary Ramadan is 23/3 and today is 21/3/2023 What Shahid is want to update ok oh Shahid is update to Ramadan Horary I love you Shahid 🥰🥰🥰🥰🥰😍😍😍😍😍😍,
I love it really,
"Very, very UNPROFESSIONAL APP",
Cannot log in using Facebook as it gives me black screen after logging in,
Excellent,
This is my favorite app to Watch films and مسلسلات,
"Very poor support channels, why do I have to call internationally to cancel my subscription .. really upset and disappointed. I will not subscribe again",
The App Used to be good what happened Now?,
Excellent app thank you,
شاهد,
❤❤❤❤,
جيده,
Not Shure Nachos,
Very good,
هذا تطبيق جيد جدا,
woww,
Frustrating it's not working on TV ... wasted many hours until I realised this... Useless on phones of course... I don't recommend at all...,
"Th ui design is kinda annoying, a simpler and smoother one would do us a big favor",
Ilovet,
لا يعمل على متصفح جهاز xbox one وايضا افشل دعم فني لا يوجد رد حتى وبعد الاشتراك بعد مراجعتكم ايضا الدعم سيئ ولا افادة انصح بعدم التعامل معكم,
Exlant,
nice🤍.,
Elbrnamg gamed gda h3Ty 5Ngom,
I had difficulties cancelling. After a few emails i received a call from Shahid in Dubai.Amazing customer service. Thank you,
nice,
"suddenly out of no where the app isn't working properly as it pauses any series I put on and doesn't want to play the series , I have been using the app for 3 years and on smart view from my mobile to the TV , now that is weired it doesn't play th3 series.",
To cancel the subscription you need to call saudi arabia phone number,
بنقود,
very bad,
Full of bugs and it is slow and sometimes suddenly it stops working,
Very bad,
المبرمج يلي عامل شاهد لا يفقه شيئ بالبرمجة لا يوجد تطبيق أولاً يطلب تحديث إجباري كل فترة قصيرة تطبيق نيتفليكس ويوتيوب موجود على جوالي من سنتين ولم أقم بتحديثه هذا استفزازاز وغلط مبرمج ثانياً من غير المنطق ان ادفع اشتراك وسيرفر شاهد جداً بطيئ لدرجة اني تابعت نفس المسلسل على منصة مجانية دون اي تقطيع قررت اليوم ان الغي اشتراك شاهد بسبب طلب تحديث التطبيق الإجباري,
