,Review,Predicted Label
504,Mujhe jayada channel chahiye 1000+channels subscribe free recharge channel,Channels-Channel Navigation
505,Excellent,Application-Nice
506,Good app but mobile Date is very fast user,Application-Nice
507,Good 👍,Application-Nice
508,Good,Application-Nice
509,Good,Application-Nice
510,Very bed network very slow speed in 2 GB net pack,Application-Nice
511,😟,Application-Nice
512,Amazing !,Application-Nice
513,XZ,Application-Nice
514,Nice app,Application-Nice
515,This app is amazing for people,Application-Nice
516,"Extremely poor experience, in original ott there are new contents but with xtream new shows not available. Not searching option also. Why so?",Channels-Quality
517,Nothing to say about this app 😳,Application-Worst
518,Cool experience..,Application-Nice
519,Exllent,Application-Nice
520,Ok,Application-Nice
521,Rjtsek,Application-Nice
522,Good,Application-Nice
523,Amazing movie collection for free 😍,Application-Nice
524,Nice,Application-Nice
525,Very good,Application-Nice
526,Airtel TV not free. Jio is best,Customer care-Query Resolution
527,Superb,Application-Nice
528,Really Great Content!,Application-Nice
529,Vishu thing good ok k,Application-Nice
530,Excellent app with informative and entertaining,Application-Nice
531,Really wonderful. Got all the shows i wanted watch.,Application-Nice
532,Good,Application-Nice
533,Superb. Just download and enjoy.,Application-Nice
534,Free Airtel SIM Airtel TV dekhne Ko Nahin Milta Hai,Customer care-Query Resolution
535,Superb,Application-Nice
536,isse aachha jio TV Movies free me de raha hai,Customer care-Query Resolution
537,Good app,Application-Nice
538,Disgusting app,Application-Nice
539,Good,Application-Nice
540,Very bad too much time taking for opening 😡😡😡😡,Application-Worst
541,I am a Airtel SIM user this app does not for Airtel custemers. We have to pay ₹140 to watch any channel or movies. Do they think thay are like Netflix or Disney Hotstar. Instead of this app jio tv is much better then Airtel xstream it as free channel and live shows for free of cost.,Packages-Paying without service
542,Good,Application-Nice
543,gd,Application-Nice
544,Please add more live TV channels and improved video quality in app because it stream in standard quality always even if I selected high quality where airtel network is also good other streaming App work fine in HD only xtreme App lag and please add more live TV channels,Channels-Quality
545,Good,Application-Nice
546,Nice,Application-Nice
547,Super,Application-Nice
548,"Terminated the plan 2 months back, still receiving the bill. And that's not the first time Airtel has been generating revenue my cheap means, stop such dirt!",Application-Disconnection
549,Nice,Application-Nice
550,Good,Application-Nice
551,The app is super for me,Application-Nice
552,Good experience,Application-Nice
553,Very poor,Application-Nice
554,Very nice 👌,Application-Nice
555,Good,Application-Nice
556,Not good 🤣🤣🤣,Application-Nice
557,Excilent,Application-Nice
558,Good,Application-Nice
559,Good app,Application-Nice
560,"Thank you so much sir, I will not need to buy a set box. I will bring your application TV as well.Question: Full channels are not coming in this and if you want us to open the application, then we are ready to pay for it.",Channels-Quality
561,👌👌👌,Application-Nice
562,Good,Application-Nice
563,"It says Device is incompatible, I am shocked as I am using Realme 8 5G latest Android version",Customer care-Query Resolution
564,"THE WORSSST APP EVER SERIOUSLY I'm having airtel xstream premium still not able to download any movie/series , even the video quality is veryyyyy bad shame on you team airtel , I'm upgrading to jio fiber after such poor service from airtel . No download in any quality available even old movies are not downloadable , the quality suckkks WORST USER EXPERIENCE I WABTED TO RATE IT 0 STARS I hate using airtel nowwww experience sucks even casting feature doesn't work this is worthless",Channels-Quality
565,Video quality is very poor. Medium and high quality button do not work.,Channels-Quality
566,If Sony liv application broadcasting PSL then why Sony liv channel in Airtel Xstream app not premiering PSL after subscription after couple of matches?,Channels-Quality
567,Very good,Application-Nice
568,I love it.... Amazing,Application-Nice
569,Hot app,Application-Nice
570,Good,Application-Nice
571,Great experience,Application-Nice
572,Cool,Application-Nice
573,Nice,Application-Nice
574,Full of junk in the app like adds and stuff come on atleast for customer put important information so that they can atlest find there bill and services no proper customer service to,Channels-Quality
575,Good,Application-Nice
576,No subtitles for english shows/south shows,Application-Worst
577,మూవీస్ చాలా బాగుంది,Application-Nice
578,"Quality of video is not up to the mark even we choosed high, it's just feels watching movie in 360p or 240p.",Channels-Quality
579,"Except for Amazon Prime and Netflix, it is better than other apps.",Application-Nice
580,Ok,Application-Nice
581,Best app,Application-Nice
582,Why Zee cafe not available,Channels-Quality
583,Good,Application-Nice
584,As of now it's good,Application-Nice
585,Good aap,Application-Nice
586,Netflix add,Application-Nice
587,Good,Application-Nice
588,So So... not includes prime & netflix and the major thing is every content is not eligible for download. Yes the content is good for eg dekh bhai dekh like shows which recall your childhood days bt it can be more better.,Application-Nice
589,कुछ सीखो जियो telecom से वो भी जियो tv free दे रहे हैं और तुम्हें इस घटिया quality के app के लिए भी रुपये चाहिए,Application-Nice
590,No live chenal,Application-Worst
591,Good for viewing in short interval,Application-Nice
592,Osm,Application-Nice
593,Loving it 👍🏼,Application-Nice
594,It gets crashed when phone call comes...also many a times episodes doesn't load...we have to close the app 3-4 times then it works properly else only trailer plays irrespective of the episodes selected,Channels-Quality
595,Super,Application-Nice
596,Hahut hi achha hai app,Application-Nice
597,Better than jio,Application-Worst
598,Nice,Application-Nice
599,👍,Application-Nice
600,Please non Airtel user add and you see your growth increase please my advice and non Airtel user provide user id your customer and apko apni soach thoda jio se alag karni hogi 🤔,Customer care-Query Resolution
601,While watching videos in between calls come after disconcerting the call screen Paused unable to reconnect video vary bad app,Channels-Quality
602,This is best app in ott platform with lot of content absolutely free on Airtel recharge.,Application-Nice
603,Super amazing fantastic hd quality and my favourite telegu channel are here,Application-Nice
604,Excellent,Application-Nice
605,Nice,Application-Nice
606,Excellent.....Hoichoi Bangla ❤️,Application-Nice
607,Nice,Application-Nice
608,"The channels Integration sucks. WWE shows from SonyLiv channel doesn't have any identification. How are we supposed to find which show aired on which date and even if we are able to find the latest episode we have to wait till the next day it was aired only then it's playable, on the day it's aired if we try to open it says technical issue.",Channels-Quality
609,I don't know hou it is.,Channels-Quality
610,नेटफ्लिक्स जितना अच्छा नहीं है क्योंकि इंग्लिश मूवी हिंदी में डब करके दिखाते हैं,Application-Nice
611,Excellent 😊,Application-Nice
612,Video quality is poor. Download options should be available for each and every videos. Only a very few videos can be downloaded in your apps.,Channels-Quality
613,Good,Application-Nice
614,Supar,Application-Nice
615,Nice,Application-Nice
616,Easy to operate,Application-Nice
617,🤬🤬,Application-Nice
618,Good,Application-Nice
619,You get latest movies here which you can't find on other OTT platform,Channels-Quality
620,Good,Application-Nice
621,👍,Application-Nice
622,Great App,Application-Nice
623,Super,Application-Nice
624,Nice,Application-Nice
625,Worst experience dont buy airte connection,Customer care-Poor Responsiveness
626,Nice web shows Super,Application-Nice
627,This app doesn't work in xstream box. I could not watch Maharani and Jahanabad on TV as it doesn't show in hindi language despite title is showing hindi language.,Channels-Quality
628,Very bad,Application-Nice
629,Netflix need,Application-Nice
630,very very bad app.,Application-Nice
631,It hangs a lot while using,Application-Nice
632,Best for cricket match,Application-Nice
633,Nice,Application-Nice
634,Good,Application-Nice
635,Super h,Application-Nice
636,Good,Application-Nice
637,Good,Application-Nice
638,Good,Application-Nice
639,Op yr,Application-Nice
640,Good,Application-Nice
641,Excellent,Application-Nice
642,Nice movie nice episode very excellent app,Application-Nice
643,Nice,Application-Nice
644,Great 👍,Application-Nice
645,Good app,Application-Nice
646,"Worst app I ever seen. No download option, No continues HD watching.",Application-Worst
647,Cool,Application-Nice
648,Nice app,Application-Nice
649,Very good,Application-Nice
650,Good app,Application-Nice
651,Nice,Application-Nice
652,Best app,Application-Nice
653,Nice,Application-Nice
654,Nice,Application-Nice
655,Good,Application-Nice
656,Excellent,Application-Nice
657,Average.,Application-Nice
658,Good platform ott,Application-Nice
659,Excellent💯👍👏,Application-Nice
660,Excellent,Application-Nice
661,"Very worst services airtel fiber internet & their customers care, engineer. Very chip committed to people's.",Application-Worst
662,Does not open this app,Application-Worst
663,Great,Application-Nice
664,Good,Application-Nice
665,Nyc app's jp dixit,Application-Nice
666,Bad Userface,Application-Worst
667,Good aap,Application-Nice
668,Bad app worst experience ever..too much adds ...doesn't work properly while live streaming..,Application-Worst
669,Super,Application-Nice
670,When this app be available on Samsung TV,Application-Worst
671,Loading issue during the half at every watch,Customer care-Poor Responsiveness
672,Mast hai bhai 👌👌,Application-Nice
673,The most worse app in the world 😏,Channels-Quality
674,"Good feel. UI could be a bit friendlier. It would be great if there was an option to ""log out of all devices"" option",Channels-Quality
675,Good,Application-Nice
676,Nice app,Application-Nice
677,Good,Application-Nice
678,Picture Quality doesn't apply. Lags also.,Channels-Quality
679,Very bad,Application-Nice
680,It is very nice 💜💜,Application-Nice
681,Useful APP. Great content,Application-Nice
682,Excellent,Application-Nice
683,Good,Application-Nice
684,I like this app,Application-Nice
685,Very bad experience.first time I can see all channnels but now I can only few channels..,Channels-Quality
686,"Number of bad apps within 10 minutes, 1 minute ad again and again.",Channels-Quality
687,"This app today I installed and its not opening,its KEEP STOPINGGGG",Channels-Quality
688,Why can't we have speed option like 1x 1.5x 2x 2.25x 2.5x 3x for Shark tank or any show. We all need that.,Channels-Quality
689,No option of subtitles in sony and others,Channels-Quality
690,Shark tank episode are not getting updated on the app after 25,Channels-Quality
691,Yet not the episodes after 25 are not updated on the app. Why I am not getting new episodes of Shark Tank on Sony LIV channel in your app? Kindly check and resolve,Channels-Quality
692,Third class service. Last night I bought the Disney+ pack of 199 still not activated even after money deducted. Wrote on Twitter and on mail . Still not working. Hopeless Pathetic company Airtel I will personally slap the man who owns it one thousand time.,Channels-Quality
693,"Video quality always low .... whether you set it medium,high or auto...plz fix this",Channels-Quality
694,I am very happy with Airtel Thanks app. Thanks to the team....,Application-Nice
695,Very good app for movies and tv shows,Application-Nice
696,Nice,Application-Nice
697,Dekho bhai sab channel free karo please 🥺,Customer care-Query Resolution
698,Very super,Application-Nice
699,"This is the best movie app I ever seen ,🤩I am soo happy to this",Application-Nice
700,Super,Application-Nice
701,Hi iam in abroad not work this application what can I do,Application-Worst
702,I always travel abroad for my job. Even when i am in abroad i recharge my airtel number to keep it alive and am being a customer for a long time. But this app doesn't work on abroad.,Packages-Paying without service
703,Super se upor,Application-Nice
704,Excellent,Application-Nice
705,Awesome,Application-Nice
706,Neither I can download nor I can cast even though it is in plan. And worst thing. It doesn't work on 4g network (12mbps) while other OTT works,Channels-Quality
707,Why will it not take my quality preference???,Channels-Quality
708,Jio TV is best app for all live channel free,Application-Nice
709,Good,Application-Nice
710,Jio provide free tv but you just want a recharge. When we recharge in Airtel we are unable to access tv channels via xstream. While as in jio itz free even after and before recharge. If u run out of data and recharge jio tv run smoothly. Kindly update ur system otherwise we have to switch to jio.,Packages-Paying without service
711,Good hmm,Application-Nice
712,Need more Hollywood movies. App is good.,Application-Nice
713,Good app,Application-Nice
714,Good,Application-Nice
715,Very nice,Application-Nice
716,"Takes more than 2 days to upload tv shows from the air time Very disgusting app. Update - WWE shows get uploaded the next day whereas 3 - 4 months earlier, it used to get uploaded within 3 hours of air time which is causing unimaginable embarrassment and anger to me. With these things, a 1 star is also too much as I dont have an option of 0 star",Application-Worst
717,Why we have to contact airtel digital tv if airtel xtream OTT activation is pending..,Packages-Paying without service
718,Awesome,Application-Nice
719,Good,Application-Nice
720,Bad app,Application-Worst
721,"Disappointed even after so many months, I don't see they improved other than bug fixes, live-tv option is not there in website, Now the cost of the plan in Rs-719. The feedback mail is not considered they will send a AI bot to tackle us. My point is provide quality of service to the customers or reduce the price",Channels-Quality
722,Very poor streaming quality compared to original oTT platforms,Application-Nice
723,How can i log out from all devices???,Application-Nice
724,Net neutrality matters,Application-Nice
725,👍,Application-Nice
726,very nice,Application-Nice
727,BEST APP,Application-Nice
728,Ok,Application-Nice
729,Awesome 👍,Application-Nice
730,Very good experience...,Application-Nice
731,👍😊,Application-Nice
732,Superb,Application-Nice
733,Very Good,Application-Nice
734,Good,Application-Nice
735,Fantastic. User Friendly. Great Entertainment! Keep It Up Team Airtel!,Application-Nice
736,DHAN GIRI,Application-Nice
737,Very good entertainment,Application-Nice
738,Good variety of movies and series to binge.,Application-Nice
739,It is a useless app I disapointed by this app,Application-Nice
740,Good 👍,Application-Nice
741,Open,Application-Nice
742,App improvements needed.,Application-Nice
743,"If network is not good how can someone use this app to watch movies and shows . Very poor network, i have 90 GB 3g 4g data but unable to use it as data speed is not good.Airlet talks much about 4G but the truth is that they are even unable to maintain 3G network.since last 1 year many complains has been raised regarding network and data speed issue but no action taken.going for MNP very soon",Channels-Quality
744,This one full entrainment good airtel namaste 🙏 👌,Application-Nice
745,Use before,Application-Nice
746,Ye app chl kyo nhi rha or isme shows download bhi nhi ho rhe please isko thik kre,Customer care-Query Resolution
747,Need more film,Packages-Paying without service
748,Fantastic,Application-Nice
749,App often shows issues with opening. Problem not solved after cleaning caches or reinstalling.,Application-Worst
750,Tdh,Application-Nice
751,Super,Application-Nice
752,Worst app,Application-Worst
753,Happy,Application-Nice
754,Awesome viewing experience,Application-Nice
755,Nice app Vary happy me,Application-Nice
756,Quality low with in high speed 😂 internet,Channels-Quality
757,Excellent,Application-Nice
758,Very bad,Application-Nice
759,Very good 👍,Application-Nice
760,Nyc app,Application-Nice
761,Good,Application-Nice
762,"POOR OFFERINGS ZEE5, VOOT, HUNGAMAPLAY, NOT AVAILABLE AT ALL.",Channels-Quality
763,Great app,Application-Nice
764,Goooooood,Application-Nice
765,Ssuoer,Application-Nice
766,Good,Application-Nice
767,Maghia bala app te 5minet video dekhi thiba ki ni add asuchi 20thara,Application-Nice
768,Best,Application-Nice
769,Good quality streaming,Application-Nice
770,Good,Application-Nice
771,Nice,Application-Nice
772,Its really xstream',Application-Nice
773,Good experience,Application-Nice
774,Worst...as you recharge they promise a lot with freebie Chanels but its just a fake as u will not get anything...just making fools....,Application-Worst
775,I was taking 1 mnth premium but in this app download is not enabled for me ... I am very upset 😭😭😭,Application-Worst
776,Jgg,Application-Nice
777,Super,Application-Nice
778,Pathetic app,Application-Nice
779,Very good App,Application-Nice
780,Nice,Application-Nice
781,Good,Application-Nice
782,"I took airtel broadband connection 5 days back from day 1, i am facing internet issues. I called customer support and raised the issue but no one contacted me till now. I called customer care several times but no use whenever i called they are telling will resolve in 24 hrs. I raised issue 48 hrs back. Pathetic service.",Customer care-Poor Responsiveness
783,Good,Application-Nice
784,Really awesome app,Application-Nice
785,Watse there is no live TV channels,Channels-Quality
786,Nice,Application-Nice
787,Best,Application-Nice
788,Glitchy app,Application-Nice
789,Thanks to airtel,Application-Nice
790,Wrost app,Application-Nice
791,Nice,Application-Nice
792,I am living at kanpur city but still net speed is 20 to 50 kbps....Is this is called airtel 4g???,Customer care-Poor Responsiveness
793,Very good 👍,Application-Nice
794,Nice on plz move to more new movies,Application-Nice
795,Mili recharge chesi chudala all ready net balance bokka mali recharge evaduraa petindi,Application-Nice
796,Good service,Application-Nice
797,best app,Application-Nice
798,Osm,Application-Nice
799,Great product,Application-Nice
800,Nice,Application-Nice
801,Amazing experience so far.,Application-Nice
802,The experience was good.,Application-Nice
803,Awesome,Application-Nice
804,Wonderful app..I just love it,Application-Nice
805,Nice,Application-Nice
806,"Thanks ❤❤, itni badiya",Application-Nice
807,So nic all shown on mobile phone & T v,Channels-Quality
808,Op,Application-Nice
809,Good,Application-Nice
810,"Worst experience,watching the first episode of faadu love story ,screen goes blurr in every minute",Application-Worst
811,Exceptional app,Application-Nice
812,Very nice,Application-Nice
813,Good,Application-Nice
814,Very good app 👍.Recently internet speed become 12mbps. Please look into the matter.,Application-Nice
815,Excellent,Application-Nice
816,Ok,Application-Nice
817,Airtel xtream android tv not showing zee channel And so much buggy laggy this application in my android mi tv.,Application-Worst
818,"Amazing gift, thanks",Application-Nice
819,It's very good experience,Application-Nice
820,Good,Application-Nice
821,"Charging to it's own customer, ridiculous",Application-Nice
822,Worsted app,Application-Nice
823,Good,Application-Nice
824,Fake app why should I pay extra pay watching Live Tata sky app is very good and best free channels all,Application-Nice
825,Good,Application-Nice
826,Good,Application-Nice
827,Good,Application-Nice
828,"Good, try to made it more easy",Application-Nice
829,Great,Application-Nice
830,nice,Application-Nice
831,By,Application-Nice
832,Nice xperience,Application-Nice
833,Subscribe channel গুলোর picture quality জঘন্য।,Channels-Quality
834,Good,Application-Nice
835,Nice,Application-Nice
836,Good app😊,Application-Nice
837,Ok,Application-Nice
838,Good app of movie 🍿🤩🤩🤩,Application-Nice
839,Good,Application-Nice
840,Airtel xstream app playback screen problem not solve watching episode & movie back button remove not showing app navigation bar after Update version 1.63.1 please fix this Issue Thank you team Airtel,Customer care-Query Resolution
841,Very nice,Application-Nice
842,I have a look at the moment. I have,Customer care-Poor Responsiveness
843,Nyc ott,Application-Nice
844,Useful,Application-Nice
845,Super quality pictures and super fast network I love Airtel,Application-Nice
846,I love this app very Airtel did very good job. but I have a problem I choosen Sony LIV app . I was watching shark tank i want to download the episode but there is no download option plz fix it . Download option not showing. Otherwise this app is 5 star 🌟,Application-Worst
847,Nice,Application-Nice
848,जिंदगी जीने का एक बेहतर अंदाज,Application-Nice
849,After seeing the reviews i am not downloading..,Application-Disconnection
850,Call connectivity extremely poor,Application-Nice
851,Awesooooomeeeeeeee!!!!!!!!,Application-Nice
852,Best 👌,Application-Nice
853,Best OTT app 👍,Application-Nice
854,Amazing,Application-Nice
855,Very 3rd class service,Application-Nice
856,Super,Application-Nice
857,Good,Application-Nice
858,Best'hai,Application-Nice
859,Nice ..,Application-Nice
860,Download option is not showing,Application-Worst
861,The app is not opening,Channels-Quality
862,Rest is ok. But please include the download option. There is no option to download content. Although there is a download section But not a download option is available,Channels-Quality
863,Super,Application-Nice
864,i love this app,Application-Nice
865,Good,Application-Nice
866,Needs some improvement,Application-Nice
867,Nice apps,Application-Nice
868,Worst app don't download it. Even if you get free too. Time waste.... It doesn't change video quality while we put in high quality also and playing video is full of lags.. even after update the app too..,Channels-Quality
869,Error in playing sonyliv video maharani please rectify your apps,Channels-Quality
870,Very nice app 👍,Application-Nice
871,I love you,Application-Nice
872,Awesome 👌,Application-Nice
873,Nice,Application-Nice
874,Excellent,Application-Nice
875,Now Good,Application-Nice
876,Entertaining and informational,Application-Nice
877,Good,Application-Nice
878,Being an airtel user why do we need to upgrade to airtel xstream premium?? Already recharged 299 per month mobile data plan😡😡😡😡... Other operators give free contents to their users🤬,Packages-Paying without service
879,Excellent app.,Application-Nice
880,Superb,Application-Nice
881,Very nice and beautiful app,Application-Nice
882,Superb app,Application-Nice
883,Wow exilante,Application-Nice
884,Bad experience,Application-Worst
885,Poor services,Application-Nice
