Review,Label
The video quality is still low even if High Quality is selected even on Airtel's own Fiber optic internet. Pathetic app,Channels-Quality
Brilliant,Application-Nice
Good,Application-Nice
"Make A fool, No hindi contents Dont buy mistakely Advertising Popular Show and movie After subscription no new contents",Application-Disconnection
Totally good,Application-Nice
Zee anmol not showing,Application-Worst
Nice application........,Application-Nice
There is option and not visible of Zee tv channels i request to plz slove this fast orelse it is a best app,Customer care-Query Resolution
"Awesome interface, quality integration and best service..",Application-Nice
Nice,Application-Nice
"Not able to download your application, can you do something about it",Customer care-Query Resolution
Worse app. I buy the subscription and it's not working nor allowing me to watch movies from contents. Asking to switch to airtel.,Application-Disconnection
Very good,Application-Nice
Why live channel is not working.... Fix it as soon as possible,Customer care-Query Resolution
All channels are not available like zee anmol and zee t.v,Channels-Quality
"Good for enjoy, Good for timepass, video quality is good",Application-Nice
Very good,Application-Nice
Great,Application-Nice
Please ad Sindhi tv channel,Customer care-Query Resolution
It's not working on my device.,Application-Worst
"Bad experience. After watching a movie or any thing in this app, i am recieving a bad internet service (unable to see video in YouTube, lagging etc.)soon after exiting from this app. It has became a constant trouble ,that i should restart my phone to overcome this issue. please fix it sooon.",Application-Worst
It's a great,Application-Nice
Nice service,Application-Nice
Good,Application-Nice
Some stupid software engineer made this TV channel. Better to close this app than that. This is the worst TV app ever.,Application-Worst
Very Good. Easily,Application-Nice
Worst app yeh app install karne se achha hai play Store hi open na karu,Application-Worst
"I was watching a movie under Sony LIV app and option for Subtitle is disabled , when I saw in original Sony LIV app then it's working perfectly fine, please add Subtitles option for all contents.",Application-Worst
There is no download option in any channel..,Channels-Quality
"Worst app no movies and channels available. It will navigate to another app/channel l, that channel/app has to be subscribe by paying money waste app.",Channels-Channel Navigation
Suuuperr,Application-Nice
Good,Application-Nice
Doesn't include tv channels,Customer care-Query Resolution
Good,Application-Nice
Special thanks a airtel Xstream app is not just app is very good is very nice i get airtel firber is next level experience to,Application-Nice
Good,Application-Nice
Hoichoi is very good show,Application-Nice
Great,Application-Nice
Great,Application-Nice
Good,Application-Nice
Easy to use.,Application-Nice
It is so underating app because the app now don't show the zee marathi and all zee channels on it..so i dont recommand all of u..and I request the airtel xstream plz take the zee marathi app again..and also the other channels like sony tv and all other channels are not opening,Channels-Quality
Stream quality sucks,Channels-Quality
its ok,Channels-Quality
Fantastic app,Application-Nice
Good,Application-Nice
Good,Application-Nice
The quality of videos is not changing rven after doing the settings Plas 360p quality even when set to high Terrible experience,Packages-Paying without service
WONDERFUL,Application-Nice
Worst app. While selecting lower video quality it automatically gets high video quality within few seconds..If I select 144 or 240 it automatically gets to 360 or above in few seconds. Again i need to select lower quality but again and again it gets above 360..Do something ASAP,Packages-Paying without service
Live tv feature not working..not showing.. inside app..be update and get 5 star rating..,Application-Worst
Worst app.,Application-Worst
Good,Application-Nice
Very good,Application-Nice
Not good,Application-Worst
This app is bluffing us They want us to install the app because of live TV but after somedays that option gets closed for everyone You are bluffing your customers airtel Not fair,Application-Worst
Awesome,Application-Nice
Amazing,Application-Nice
The movies are good,Application-Nice
Good,Application-Nice
Super,Application-Nice
"Please enable download fuction for videos, download for shark tank, the kapil sharma show, cubicles, gullak, jl50, tabbar nothing has download options, also i not got prime free for 84 days as i already recharged for 999",Customer care-Query Resolution
Good service,Application-Nice
Very good experience,Application-Nice
Good enough for entertainment...,Application-Nice
Super,Application-Nice
Supperb,Application-Nice
Nice,Application-Nice
good service,Application-Nice
"Bad experience with video quality. Even in High quality option, quality goes below avarage. Almost all the videos are of very poor quality. For example I have sony liv subscription. The quality that I see in the sony liv app, I don't get even a fraction of that quality in this app. I have never seen such a bad app before.",Channels-Quality
Good,Application-Nice
live tv option missing in andriod tv app of airtel xtream,Customer care-Query Resolution
Superb app,Application-Nice
Good,Application-Nice
poor video quality ,Channels-Quality
very good airtel.,Application-Nice
Nice,Application-Nice
The 84 days free subscription made my 84 days....,Application-Nice
"So much improvement needed please try to fix all problems, specially slow loading",Customer care-Query Resolution
Good,Application-Nice
Did you remove the Zee Bangla channel permanently?,Customer care-Query Resolution
Wow,Application-Nice
Very waste no useful,Application-Worst
Very good,Application-Nice
Not useful. Not at all helpful to access OTTs in Xstream.,Application-Worst
"Very poor application,non of the sports channel work, asking for primium,jio is batter than this jiotv gives all the channels free to watch",Application-Disconnection
Excellent,Application-Nice
Nice application,Application-Nice
Good,Application-Nice
Will prefer jio anytime than this piece of dump,Application-Worst
I'm very happy to see Kannada Live TV channels,Application-Nice
Very bad,Application-Worst
"Worst app ever , video keeps buffering and audio plays don't waste money",Application-Worst
App not works mostly,Application-Worst
Very bad experience I wanted new connection tried calling many time but they only end up with call arrange krwa rahe hai but aaj tak 15 din k upar hua aaj tak call nhi aya,Customer care-Poor Responsiveness
Nice,Application-Nice
After subscription forcing to watch ads only not allowing to watch content for what I have subscription too much disturbing,Customer care-Poor Responsiveness
Very bad..in live tv only Sony channels are show..,Channels-Quality
Excellent,Application-Nice
Smooth and handy,Application-Nice
Best app to watch ott platforms,Application-Nice
Totally waiste your time,Application-Worst
I can't open this app,Application-Worst
Excellent !,Application-Nice
Excellent,Application-Nice
All in one just awesome,Application-Nice
Very nice app,Application-Nice
Good app...,Application-Nice
Very good app,Application-Nice
Useful,Application-Nice
Very bad experience i want to give you zero star,Application-Worst
Good,Application-Nice
App chalu nahi ho raha hai,Channels-Quality
GOOD APP,Application-Nice
Nice App,Application-Nice
Good,Application-Nice
Love the experience,Application-Nice
Not allowing to deselect channel,Channels-Channel Navigation
Good for watching,Application-Nice
Enjoying the app...,Application-Nice
Very bad video quality.,Channels-Quality
Nice & good app,Application-Nice
"Not good for video quality, doesn't matter what quality you select and this is basic of any streaming apps available in market",Channels-Quality
Wow,Application-Nice
There is no all channels and TV guide,Channels-Channel Navigation
Wonderful,Application-Nice
Good,Application-Nice
Supr,Application-Nice
I just say one thing about this app it's really Worst..,Application-Worst
Zee Marathi content n channel removed from the app.,Channels-Channel Navigation
This so cool,Application-Nice
I am very happy with this app,Application-Nice
"I'm very disappointed that Airtel Xtreme has removed the Zee TV channel from its app. I used to watch my favorite shows on the app, but now I can't. It's really inconvenient, and I hope Airtel Xtreme will bring back the Zee TV channel soon in live TV.",Channels-Channel Navigation
App lags in every 10-15 minutes,Channels-Quality
Too much lag,Channels-Quality
For android TV app very bad compare to jio TV . Very few OTT subscriptions offered for Android TV app .,Application-Worst
Zee tv is not working,Channels-Quality
Very bad app. Having subscription but not providing live zee tv chennal,Packages-Paying without service
Very nice application,Application-Nice
Best aap,Application-Nice
Zee kannada chanel,Channels-Channel Navigation
Very good,Application-Nice
Good,Application-Nice
Good,Application-Nice
Your live tv is not working,Channels-Quality
Sooper,Application-Nice
"No use, live tv channels removed. Only Sony available but there's sonyliv so no use being a sonyliv subscriber. Uninstalling.",Channels-Quality
4 free ok but After I can ... 🤑,
"For 6 month on series prime ""damages"" and for 3 month ""the wire"" and other what the.... why put something new everyday at 10 o'clock finish my work and open chanel for 6 to 8 month the same what what what put anything new",
Why i can't watch the series i downloaded? Without wifi or data? Isn't why i downloaded it so i can watch it anywhere anytime without wifi?,
Good,
The app keeps crashing everytime i try to log in any screen in my account only the kids screen working and if i try to switch to other screens the app crashes again i tried to reinstall the app clear data everything and the problem still here what am i paying for ?!!!!,
Excellent application,
"Horrible app experience. I think osn can learn a lot from Netflix for example. No casting button from home, no autoplay episodes, doesnt show where we left off...",
"What kind of a streaming app doesn't let you minimize the screen while scanning your phone?! It's so frustrating that I can only watch in full screen or I can't watch at all. I want, like with Netflix and Disney+ and all other streaming apps, to be able to watch something while using my phone",
Always come application is crashing after selecting the profile.,
"It keeps crashing And becomes unresponsive. Really really unstable app, and at the price for subscription I honestly expected better.",
The Worst streaming service I've ever experienced.,
"When I try to open. D app this is d comment showing ""Problem loading d app please restart d app"" I cannot open since yesterday.",
Very very awful app very slow streaming I ever had ... upset all time I do regret to subscribed it ufff ... gosh not advisable!!! Bump!!!,
"Always asks to restart, and gives me error",
Its wooow,
How can i unsubs and what is the procedure?,
so awesome my kids are glued to it!!!!!!!,
amazing app,
"Application last update bring back the same problems, very bad experience, it hang once you pick ur account to login, usualy updates are for better experience!!? OSN team please roll back the old version or fix ur app.",
Always crashing.,
the media content is good but the application user experience and UX design need to be better,
The app keeps crashing what seems to be the issue Again I tried your instacuins same issue,
"Bad application, it keeps buffering for no reason. The Internet speed is great for all the other apps (Amazon Prime, YouTube...etc) expect OSN. WHY? It's so annoying to keep buffering every single minute!!",
I want to cancel my subscription bcouz I dont use ths app but being charged I m entering all correct details but its say my contact number is wrong this is insane ... very bad,
Chinta mat,
A great customer support... quick and comfort response. Thank you,
low volume of content,
سئ راح اشتراك عشي فاضي نص المسلسلات عhbo مش موجوده,
"It doesn't work at all, I had much troublrs to even login, shity app, and it's even free",
"Not alot of content, should have live TV option atleast also.",
this app is super,
Where can I find the auto renewal subscription option and turn it off??,
ارجو حل مشكلة الحواف السوداء و البحث عن الأفلام و تحسين جودة الأفلام,
I don't know how a well known app with so much awesome shows can suck this hard!!! The application lacks a lot of features: 1- video quality control 2-cache ( so I don't have to load the show everytime I get out of the app for a second and get back again) 3-category search,
It was working and all of a sudden it stopped the app frozes I did Uninstall and install but still frozen,
Good,
Good,
Ofw,
Not working in İstanbul,
"Could you check that, the applicationnot working on Android",
As soon as you click on your profile the app crashes. It's impossible to watch anything on it,
The App doesn't open,
So addictive,
The sound in the movies keeps holding getting stuck,
Excellent,
"Keeps on lagging when I attempt to open the app. I almost cannot watch anything now 🤣 Also, there isn't much good shows to choose from, Netflix and Amazon Prime video have much more choices than OSN...",
bad,
there's no option to cancel or change plan,
Worst app ever,
"Don't, just don't subscribe to their paid service! Their customer service is the worst! Been almost a MONTH trying to get a refund AFTER their customer service said I wouldn't be charged!! APPARENTLY IT TAKES OVER 3 WEEKS TO GO THROUGH THE CHAT LOG I HAD!! I WOULDN'T SUBSCRIBE FOR FREE!! Case no. 1028695.",
"wrong connection to account in google play they just make last google account you sign in store be default, i have many emails some for work (just email send and recived no payment). i sign out for my main store account next sign in and works, next stage is payment and not work (the card work before i install the app and its fine). -Conclusion 1 star ✅️",
The worst streaming app I have used. Charging me even after unsubscribing and no support from customer care as well plus the download option is useless. The app is sucking all my data off when the WiFi is off and I try to watch some,
I purchased a subscription by accident and they gave me hard time to cancel it even now i still couldn't cancel it,
Too bugy,
The app is full of glitches. Doesn't open until I erase all data and sign back in again.,
Great,
"It was working fine on the LG TV WebOS, but now it automatically logs me out the moment I log in. Every time. Edit: does not work even after uninstalling and reinstalling the app. Edit 2: They have fixed the issue now, hence updating to 5 stars.",
Good Content but keeps crashing on my phone. Please fix stability.,
اتمنى اضافة زر تسريع الفيديو (playback speed) مثال السرعة 1.25 /1.5/الخ و شكرا على الرد السريع,
I did what was suggested by app developer. Still it does stops when I try to open my account. It works on kids account normally though,
(BEWARE) Can't access my account and still issues pending!!!! اشتركت معهم وخصمو الفلوس وماعطوني صلاحيه ادخل الحساب قالو لي ما مشترك مع اني عطيتهم صور واثباتات وتواصلت معم اكثر من مره وكل مره يقولون ماعندك حساب,
My osn plus account is subscribed in Ooredoo account in Qatar. Why osn plus is not available in Qatar anymore? What is this? Why?,
UPS 2023,
It's bad like turd,
doesn't work,
Perfect 🥰,
It keeps crashing when I tab on anything,
Soo good,
Does not open,
Very good,
"Many errors, that app always crash at startup so I need to reinstall every time",
It's stuck on the splash screen.,
"My mobile is having latest operating system and latest security system but, sill getting 4003 error on my Android mobile. Advise how to fix it. Not able to play vedio directly. But able to play after downloaded...",
"Worst streaming app ever, always freezing on the starting logo and doesn't transfer you to the homepage.",
اشتركت من خلال Play Store و إذا دخلت التطبيق يقولي لازم تشترك، ما تفعل الاشتراك للحين!,
Dear team. I have already unsubscribed the pack then why did my account get charged? Please give me refund.,
Please put back live tv!,
"Sometimes the app never launches. Sometimes it works fine. Needs improvement, it feels heavy on the phone unlike other streaming apps",
"Really poor excuse for an app. Doesn't track recent viewings and doesn't let you see the info for the series once you start playing an episode. Osn, your one job is it ensure we continue using your service so that you continue receiving our subscriptions. If Netflix, YouTube, and Amazon can do it then you have no excuse for such a half-hearted attempt of releasing an app.",
"A very stupid behavior to sign out user in the same second the subscription expires Tried to think of any reason to behind it, just stupid Please update - learn from Netflix",
"I want to get my money back because I subscribed by mistake. I wanted to try the free period, but I couldn't find the series that I like, so I want to get my money back",
The amount of time it takes for this app to load to the homescreen is ridiculous. Maybe not hire your friend hababi and hire someone who actually knows how to make an interface dumbass.,
why make it installable only too see it's not available in my area,
Completely dishonest service. Couldn't log into my account for days to cancel my subscription and they kept billing me even when I contacted the support various times about that matter.,
ياجماعه خاصية اختيار الجوده ومحدش يقول بتتغير لو بتفرج عالاب توب انا عارف والله بس انا هنا على البلا ستور يعنى بتكلم عالفون وياريت اللى يرد يرد على سؤال عن ابلكيشن الفون تعديل : ماشى انا بقى عايز اختيار الجوده فى الموبايل ليه مخترهاش بنفسى بدل ماتتغير تلقائى ليه مش عاملين الخاصيه دى فى الابلكيشن بتاعكم فى حين ان معظم الابلكيشن التانيه فيها نفس الأمر شاهد وواتش ات وحاجات تانيه كتير كلهم عندى فيهم الخاصيه دى ليه بقى الابلكيشن بتاعكم مش بيسهل تجربة المستخدم زى الباقيين زميل حضرتك وضع شكوتى عالمقترح,
the app keep freezing on the 1st loading screan and its not fixed unyil i reinstall the app,
Zero,
تحذير: لا يتضمن قنوات osn المباشرة. اغلب الافلام والمسلسلات قديمة ومعروضة مرات عديدة. في الغالب فان المحتوى ذو ميل جنسي شاذ.,
Very bad in that they do not let you unsubscribe from your phone. I even logged in on the mobile browser and unsubscribed and was still charged for renewal only to find out that their app and mobile browser are useless for unsubscribing. Can't even remove my payment card from their system!!,
Currently for more than a month error due to android,
رائع جدا,
"Worked fine for the first week or so on an LG C1 65 Oled. Oh my... oSN + is the new champ for a terrible excuse for a TV streaming app... Constantly disconnects, frequently asks to login again... Like seriously once every 2 days or so... Always forgets what I have seen half way.... Choppy quality... No option to change or choose quality... The list goes on.... OSN! Please fix ur app... Netflix has been out for ages and doing a bang up job. How hard is it to find a good programmer??",
Outraged I got charged after I canceled within 2 days! I thought the selections was just meh so I canceled. NOW THEY HAD THE AUDACITY TO CHARGE ME FULL MONTH!,
👎👎👎,
The app is too bad and slow.,
Greedy,
"Great content, but glitchy platform.. regularly having issues with it crashing, lagging and not saving. And there is no options to report bugs or get assistance for help",
"Most of the time the app doesn't open. It freezes on logo and nothing happens. Netflix, Prime Videos, Disney+ are far superior apps.",
سيئ,
Can anyone tell me how to cancel my subscription?,
This is more of a scam than a legit streaming service,
It keeps glitching I can't watch a whole show with out it stopping every minute 😒 يعني الواحد بيدفع اشتراك عشان يتفرج شي كويس مش كل شوية معلق و يوقف,
The app doesn't work! It doesn't even open!!,
stops working by 6PM,
I asked for help to the customer service..he joked with me.poor help centre..4days they cant find a solution to my problem.This post is for the Admin,
"it is very beautiful. That's it, it's really beautiful 👏🏻💐🏆",
"App is slow and uses my data even when the episode is downloaded, also episode progress bar visibility is inconsistent.",
good,
I gave it a one stare because when I installed it and I tryed it kept showing me osn+ on the screen hope you can fix this problem,
كويس جدا,
its amazing it has so many different shows which is way more than netflix which makes osn+ better than nextflix,
Great app,
On my tv I saw the last of us episode 6 then I update the app now its crushing you have to do something OSN you have the best tv shows and movies just plz fix your application.,
جودة الفديو ضعيفة جدا في مصر بالرغم باقي المنصات فوركيه بسلاسة,
They took my money for annual subscription and didn't provide the access and when I claim it the said its with Google play and Google said that it's OSN Very bad app and experience They are theifs and they never back to us on the complaint and the took the money. Don't recommended at all and don't ever think to get this app.,
سيئ,
😡😡😡😡😡😡😡😡😡,
Not login My email 😢😢,
Amazing..,
Horrible! Terrible! How do they stay in business? I have to restart my computer and clear my browser to watch movies on my laptop. Half of the time the app is stuck on my phone and customer service is slow.,
The app not working over WiFi only through mobile data,
"I almost can't play any video on this stream app, every time i have android error 4003 even after this new update of 17th February",
محتاجة اعرف موجود عليه مسلسل Küçük sırlar ولا لا ؟,
The app needs to have a quality control panel like the web version as I can't adjust the Quality which sometimes consume a lot of data Plus the app doesn't allow you to do anything else while watching as it doesn't have a picture in picture feature,
App getting freeze please check and clear the issues ASAP,
Is very bad,
Nice,
"App doesn't open, stays on loading screen for ages",
"The application uses much data, unlike other applications, you cannot adjust streaming quality, hope to see this improvement Thank you for your kind response",
4images 9,
مجانية هههههههههههههه,
"Needs some modifications If categories such as comedy and action are added, if they are added to the search list, it will save time for the viewer to choose the series or movie",
Your login is messed up and even though my account is active it won't let me log in. There's also an error everytime i try to play something,
"I just need a information about a Game of Thornes, it's available in Hindi or don't",
very bad to play video only buffering,
Face,
The best,
Thanks the problem were solved,
"Can't download anything, every time I try to download a show a massage pops up saying download is disabled on this device!",
After the update I want to subscribe with the application but they not accept my payment,
Wrost app.....first day only that app opend....than next day it's couldn't open... currently unavailable..msg coming always....I think making us foolish.....😡😡😡😡😡😡😡,
Is not free 😬💔,
"I download this app and subcribe just to watch ""the last of us"".. all of your movies and series are cool to watch..but even i have my connection in the internet was very excellent i cant enjoy watching your movies because it's always loading and its take long time to open your app..",
This is not easy to use at all 😡,
My account not working After the update,
🗑️🗑️🚮🚮,
🤮🤮,
Useless app,
"The app is good enough, the only feature the app lacks is to handle the play/pause button on Android TV. We have to click the Ok button twice to achieve the same.",
Horrible experience 🥺 we can't watch any thing because the error 4003!! all this movies and shows and can't play it even 1 minute!!! The worst app ever!! Netflix can't do this to us never!!!,
"Good app when it works. Most of the time, I can't login a lot of times due to some kind of buggy geoblocking which prevents me from accessing the content I paid for.",
"Entertaining, the best I have ever have,you guys you rock my world",
"App start crashing and mobile restart when cast to tv through chromecast, old movies which are available for free will cancel my subscription soon .",
So bad,
😘,
Always stucuk the app. Does't work and everytime I delet it and reinstall it again. every time want to open the app not working and diplay black screen.,
The application take long time to open,
does not work!,
Really slow,
"Horrible app you have to play episode by episode through chrome cast, I can't login in my smart TV do something with it .....",
They are charging me hidden two times in a month same at my wife account,
اوك المحتوى اللي داخل التطبيق ممتاز .و لكن التطبيق نفسه جدا فاشل و مبدئي أتمنى تغيروه من الصفر,
Osn+ is a great app and I've been using osn for a long time,
Not working & not starting,
"I have not been able to use this app on my Android phone or my Android TV for 2 months now. ""Player Error Default Android TV (2004)"" I contacted customer service many times and didn't hear back from them. It's almost like their service in none existence. I paid for a full year and I can count on one hand how many times this app worked. Makes me very unhappy to not get what I paid for.",
👍🏻,
يعرض مسلسلات قبيحه وشذوذ صريح,
I already subscribe but I can not open the app. 😔😔,
I was incorrectly charged. Terrible customer service I've been chatting with them for days without going anywhere,
Horrible. Just the definition of HORRIBLE.,
quality adjust is required 😏😌,
"Worst app ever, Don't use it, always forced to steal money from bank the subscription system is a scam and they take more money than the payment of the subscription",
"Streaming is good, but when it comes to downloaded content problems exist like not being able to change the download quality and the help section is no good.",
Lagging and the video is blurry And the subscription price is high for a low quality videos,
This app always has an error with android Every time after watching it I should restart my mobile to open app again,
Nice,
Please bring OSN to PlayStation consoles,
"This is the worst streaming service I have used till date. The subscription cost is exorbant considering they don't provide 4k, HDR or dolby atmos content. Even the HD content streamed is of a very low bitrate inspite of which the video buffers even on high speed internet. The mobile app and TV apps UI are bad too. Hopefully hbo max will launch independently in the middle east instead of piggybacking on such a poor platform. I also faced issues where the episode skips to the next before it ends.",
i hate this app,
The bestt app ever,
Not able to open the app... it is stick on the landing screen (OSN+ logo),
Worst app,
On the television it's always going to the login app even after putting in the right details. Some bug is present. Samsung QLED tv.,
The best series but the app needs improvement.,
"Recently, the app logged out from my tv, samsung (QN90BA), and when I try to log in , it logs out immediately. I cleared the data and cash, then deleted the app and re installed it, but the same issue persisted",
عندي مشكله مع التطبيق ولا يوجد تجاوب مع الدعم الفني .. التطبيق سجل لي خروج ولما ارجع ادخل حسابي يطلب اكمل الرجستريشن!! وانا لي سنه استخدمه واشتراكي مجدد من يومين ينتهي في نهاية فراير!! حاولت اسجل من التطبيق ومن الموقع نفس المشكله.. والمشكله لها فتره طويله .. قبل شهر حاولت افتح حسابي على جهازي الثاني ونفس المشكله كانت تطلع وما أعرتها اهتمام لأني استخدم التطبيق في جهازي الأساسي,
One of the worst apps ever. It would not launch most of the time,
Bad,
"Why have a custom keyboard for Samsung TV, It's a nightmare. alphabet organized! Really!",
"Casting to chromecast sometimes needs clearing app cache to work.. And it won't sync the episode progress, so you will have to recall where you left the last viewing session",
