Review,Predicted Label
The video quality is still low even if High Quality is selected even on Airtel's own Fiber optic internet. Pathetic app,Channels-Quality
Brilliant,Application-Nice
Good,Application-Nice
"Make A fool, No hindi contents Dont buy mistakely Advertising Popular Show and movie After subscription no new contents",Application-Disconnection
Totally good,Application-Nice
Zee anmol not showing,Application-Worst
Nice application........,Application-Nice
There is option and not visible of Zee tv channels i request to plz slove this fast orelse it is a best app,Customer care-Query Resolution
"Awesome interface, quality integration and best service..",Application-Nice
Nice,Application-Nice
"Not able to download your application, can you do something about it",Customer care-Query Resolution
Worse app. I buy the subscription and it's not working nor allowing me to watch movies from contents. Asking to switch to airtel.,Application-Disconnection
Very good,Application-Nice
Why live channel is not working.... Fix it as soon as possible,Customer care-Query Resolution
All channels are not available like zee anmol and zee t.v,Channels-Quality
"Good for enjoy, Good for timepass, video quality is good",Application-Nice
Very good,Application-Nice
Great,Application-Nice
Please ad Sindhi tv channel,Customer care-Query Resolution
It's not working on my device.,Application-Worst
"Bad experience. After watching a movie or any thing in this app, i am recieving a bad internet service (unable to see video in YouTube, lagging etc.)soon after exiting from this app. It has became a constant trouble ,that i should restart my phone to overcome this issue. please fix it sooon.",Application-Worst
It's a great,Application-Nice
Nice service,Application-Nice
Good,Application-Nice
Some stupid software engineer made this TV channel. Better to close this app than that. This is the worst TV app ever.,Application-Worst
Very Good. Easily,Application-Nice
Worst app yeh app install karne se achha hai play Store hi open na karu,Application-Worst
"I was watching a movie under Sony LIV app and option for Subtitle is disabled , when I saw in original Sony LIV app then it's working perfectly fine, please add Subtitles option for all contents.",Application-Worst
There is no download option in any channel..,Channels-Quality
"Worst app no movies and channels available. It will navigate to another app/channel l, that channel/app has to be subscribe by paying money waste app.",Channels-Channel Navigation
Suuuperr,Application-Nice
Good,Application-Nice
Doesn't include tv channels,Customer care-Query Resolution
Good,Application-Nice
Special thanks a airtel Xstream app is not just app is very good is very nice i get airtel firber is next level experience to,Application-Nice
Good,Application-Nice
Hoichoi is very good show,Application-Nice
Great,Application-Nice
Great,Application-Nice
Good,Application-Nice
Easy to use.,Application-Nice
It is so underating app because the app now don't show the zee marathi and all zee channels on it..so i dont recommand all of u..and I request the airtel xstream plz take the zee marathi app again..and also the other channels like sony tv and all other channels are not opening,Channels-Quality
Stream quality sucks,Channels-Quality
its ok,Channels-Quality
Fantastic app,Application-Nice
Good,Application-Nice
Good,Application-Nice
The quality of videos is not changing rven after doing the settings Plas 360p quality even when set to high Terrible experience,Packages-Paying without service
WONDERFUL,Application-Nice
Worst app. While selecting lower video quality it automatically gets high video quality within few seconds..If I select 144 or 240 it automatically gets to 360 or above in few seconds. Again i need to select lower quality but again and again it gets above 360..Do something ASAP,Packages-Paying without service
Live tv feature not working..not showing.. inside app..be update and get 5 star rating..,Application-Worst
Worst app.,Application-Worst
Good,Application-Nice
Very good,Application-Nice
Not good,Application-Worst
This app is bluffing us They want us to install the app because of live TV but after somedays that option gets closed for everyone You are bluffing your customers airtel Not fair,Application-Worst
Awesome,Application-Nice
Amazing,Application-Nice
The movies are good,Application-Nice
Good,Application-Nice
Super,Application-Nice
"Please enable download fuction for videos, download for shark tank, the kapil sharma show, cubicles, gullak, jl50, tabbar nothing has download options, also i not got prime free for 84 days as i already recharged for 999",Customer care-Query Resolution
Good service,Application-Nice
Very good experience,Application-Nice
Good enough for entertainment...,Application-Nice
Super,Application-Nice
Supperb,Application-Nice
Nice,Application-Nice
good service,Application-Nice
"Bad experience with video quality. Even in High quality option, quality goes below avarage. Almost all the videos are of very poor quality. For example I have sony liv subscription. The quality that I see in the sony liv app, I don't get even a fraction of that quality in this app. I have never seen such a bad app before.",Channels-Quality
Good,Application-Nice
live tv option missing in andriod tv app of airtel xtream,Customer care-Query Resolution
Superb app,Application-Nice
Good,Application-Nice
poor video quality ,Channels-Quality
very good airtel.,Application-Nice
Nice,Application-Nice
The 84 days free subscription made my 84 days....,Application-Nice
"So much improvement needed please try to fix all problems, specially slow loading",Customer care-Query Resolution
Good,Application-Nice
Did you remove the Zee Bangla channel permanently?,Customer care-Query Resolution
Wow,Application-Nice
Very waste no useful,Application-Worst
Very good,Application-Nice
Not useful. Not at all helpful to access OTTs in Xstream.,Application-Worst
"Very poor application,non of the sports channel work, asking for primium,jio is batter than this jiotv gives all the channels free to watch",Application-Disconnection
Excellent,Application-Nice
Nice application,Application-Nice
Good,Application-Nice
Will prefer jio anytime than this piece of dump,Application-Worst
I'm very happy to see Kannada Live TV channels,Application-Nice
Very bad,Application-Worst
"Worst app ever , video keeps buffering and audio plays don't waste money",Application-Worst
App not works mostly,Application-Worst
Very bad experience I wanted new connection tried calling many time but they only end up with call arrange krwa rahe hai but aaj tak 15 din k upar hua aaj tak call nhi aya,Customer care-Poor Responsiveness
Nice,Application-Nice
After subscription forcing to watch ads only not allowing to watch content for what I have subscription too much disturbing,Customer care-Poor Responsiveness
Very bad..in live tv only Sony channels are show..,Channels-Quality
Excellent,Application-Nice
Smooth and handy,Application-Nice
Best app to watch ott platforms,Application-Nice
Totally waiste your time,Application-Worst
I can't open this app,Application-Worst
Excellent !,Application-Nice
Excellent,Application-Nice
All in one just awesome,Application-Nice
Very nice app,Application-Nice
Good app...,Application-Nice
Very good app,Application-Nice
Useful,Application-Nice
Very bad experience i want to give you zero star,Application-Worst
Good,Application-Nice
App chalu nahi ho raha hai,Channels-Quality
GOOD APP,Application-Nice
Nice App,Application-Nice
Good,Application-Nice
Love the experience,Application-Nice
Not allowing to deselect channel,Channels-Channel Navigation
Good for watching,Application-Nice
Enjoying the app...,Application-Nice
Very bad video quality.,Channels-Quality
Nice & good app,Application-Nice
"Not good for video quality, doesn't matter what quality you select and this is basic of any streaming apps available in market",Channels-Quality
Wow,Application-Nice
There is no all channels and TV guide,Channels-Channel Navigation
Wonderful,Application-Nice
Good,Application-Nice
Supr,Application-Nice
I just say one thing about this app it's really Worst..,Application-Worst
Zee Marathi content n channel removed from the app.,Channels-Channel Navigation
This so cool,Application-Nice
I am very happy with this app,Application-Nice
"I'm very disappointed that Airtel Xtreme has removed the Zee TV channel from its app. I used to watch my favorite shows on the app, but now I can't. It's really inconvenient, and I hope Airtel Xtreme will bring back the Zee TV channel soon in live TV.",Channels-Channel Navigation
App lags in every 10-15 minutes,Channels-Quality
Too much lag,Channels-Quality
For android TV app very bad compare to jio TV . Very few OTT subscriptions offered for Android TV app .,Application-Worst
Zee tv is not working,Channels-Quality
Very bad app. Having subscription but not providing live zee tv chennal,Packages-Paying without service
Very nice application,Application-Nice
Best aap,Application-Nice
Zee kannada chanel,Channels-Channel Navigation
Very good,Application-Nice
Good,Application-Nice
Good,Application-Nice
Your live tv is not working,Channels-Quality
Sooper,Application-Nice
"No use, live tv channels removed. Only Sony available but there's sonyliv so no use being a sonyliv subscriber. Uninstalling.",Channels-Quality
Zeesarthak,Application-Nice
Bes of application,Application-Nice
I think app is hungry already cut all serial channel from the app,Application-Nice
Good,Application-Nice
Upendra panda774,Application-Nice
Very good,Application-Nice
I want to give it no stars but the show I use to watch like Zee tv was not there from the latest version I use to watch it every day but now I am soooo angry 😡😡😡😡😡 after this I will delete this app if the channel did not come back I not satisfied with this😡😡 any of the chanell like Zee cinema Zee anmol etc.. are there. At the picture in playstore there is Zee tv HD and others which is not in this app from the latest version the old version was more good there was more channels,Channels-Quality
UI is the most disappointing part. Especially on the set top box.,Channels-Quality
Such a sneaky way to add the paid version of premium without giving any option to cancel the service after trial.,Application-Worst
Fantastic app and it is free with airtel pack,Application-Nice
Bakwas app,Application-Nice
Bugs & Bugs nothing else everytime I play a video it says aw! Snap something went wrong And the screen keeps loading. Anything I play in the app it's keep loading on and on,Channels-Quality
Worst experience ever. All the time app is buffering.,Application-Worst
"Very good app for streaming various ott app like hoichoi, sony liv, eros now, lionsgate play and various app.",Application-Nice
Very super app,Application-Nice
Nice app,Application-Nice
Indias sabse bakwasssss service Airtel,Application-Nice
Vey good,Application-Nice
Cool,Application-Nice
Akshay,Application-Nice
"Gives a lot of problems with playing the episode you want to play, I would try to play a different episode but it would keep playing some other. Also the video quality keeps fluctuating into really bad one.",Customer care-Poor Responsiveness
Super,Application-Nice
Good,Application-Nice
Ok,Application-Nice
Contents arrive one or even two days late than on the original channel. My 149 rupees have gone to waste. Total waste of an app. Navigation is also sluggish. Not at all worth it.,Application-Worst
good,Application-Nice
Great,Application-Nice
Zee telugu channel is not coming in it very wrost,Channels-Quality
Good TV,Application-Nice
🙄Not interest for use airtel Xstream app.why means.Removed the live tv channels n zee network is not available in xsteam app.But you give some updates in application and then after few days removed other network channels .Example who buy the dth connection allowed that customers only with existing pack channels.Ex: Tata sky give the best features in application live tv channels in based on existing pack channels to customer.Good bye airtel xstream app....🤨,Channels-Quality
It is possible to cast the video to tv?,Channels-Quality
I'm not able to download any movie,Application-Worst
Poor quality development. Logs out automatically every now and then. Messes up the usability.,Channels-Quality
Nice app,Application-Nice
Very nice,Application-Nice
Please add download options,Customer care-Query Resolution
"Video quality remains same at low for any option, high, low or auto. Such low quality that it is not watchable on phone also.",Channels-Quality
Bad experience.... Every time buffer...,Application-Worst
Hamare yaha Tawer hi nahi milte hai to install keyo kare ?,Application-Worst
After last update app is working fine. But still loading slowly than other streaming apps.,Channels-Quality
No. Zee Kannsda,Channels-Quality
Excellent experience as of now. Hope it may be continued. Download and enjoy your favourite stream. Thanks Airtel. Keep it up 👍👍👍,Channels-Quality
Exerllan app,Application-Nice
Good,Application-Nice
This app Is Not Working . Mobile Automatically Stop And App Not Working,Application-Worst
Since 20th February I can't watch zee bangla hd.,Channels-Channel Navigation
Waoo,Application-Nice
Nahi chal raha hai live tv,Channels-Quality
Best one,Application-Nice
Airtel zindabad,Application-Nice
Ok,Application-Nice
Please,Application-Nice
Great app,Application-Nice
Wonderful,Application-Nice
Aminulhoque,Application-Nice
Good App,Application-Nice
Please add zee Marathi live Channel s and other entertainment channels,Channels-Channel Navigation
Please add zee tv,Application-Worst
Zee TV issue,Application-Worst
Very nice,Application-Nice
I'm not able to open app,Application-Worst
excellent.,Application-Nice
i want zee tamil serail,Application-Worst
Bad,Application-Worst
It's a good experience. But if there is a facility of downloading the video it would be great.,Channels-Quality
Not good it is not showing all the entartainment channels like Zee telugu,Channels-Quality
Amazing,Application-Nice
Bast app,Application-Nice
M. C. He yeh,Application-Nice
Nice,Application-Nice
Zee channels from Live TV has disappeared since yesterday. Please look into it.,Channels-Channel Navigation
Good,Application-Nice
first you removed colours channel and now you also removed zee tv channel from live tv also why why and why?,Channels-Channel Navigation
Good,Application-Nice
Goood,Application-Nice
Good,Application-Nice
Can't find the required content,Application-Nice
Not working,Application-Worst
Best!!,Application-Nice
Sandar,Application-Nice
Good👍,Application-Nice
Super app,Application-Nice
Some more entertainment is required please,Application-Nice
Even I recharged a pack which has subscription for this ..still it's showing to pay money againa,Packages-Paying without service
Amazing,Application-Nice
Very nice app,Application-Nice
Good,Application-Nice
Excellent,Application-Nice
Barbar live channels chale jate hai abhi zee ke channel 2 din se nahi dikh rahe please continue the services Or hamesha ke liye band kijiye to other app dekhenge barbar services change hoti rahti hai pls don't do this,Channels-Quality
Good,Application-Nice
Bad app,Application-Worst
"AGAIN YOU HAVE REMOVED ZEE CHANNELS Why you have removed the live TV option, people like us who are mostly traveling used to watch TV while on the go. Kindly look into it and restore the same as most of the viewers are complaining for the same.",Channels-Quality
Goodb,Application-Nice
nice,Application-Nice
Nice,Application-Nice
Good,Application-Nice
We want pay all otts,Application-Worst
I like old version of this app I updated new and I lost mostly live channel that's why I giving 1 star only ......ok thanks then I will remove it uninstall it bcoz it's waste for me without that feature,Application-Worst
Zee bangla HD Chanel are not available,Channels-Quality
Quality not good but working better,Channels-Quality
Good,Application-Nice
Great app,Application-Nice
"Worse experience with your service. I already recharged my plan in advance, still this app not working on date 20 of every month. I have complaint too many times. But still the same. I wish playstore will add negative star rating in feed. This is not recharge related issue. This is your app subscription issue.....",Application-Worst
Zee TV channel please,Customer care-Query Resolution
Nice 👍👍,Application-Nice
Superb service,Application-Nice
Everything is good,Application-Nice
Waste of time,Application-Worst
Excellent,Application-Nice
Good for anyone,Application-Nice
It's awesome application,Application-Nice
Nice,Application-Nice
Good access,Application-Nice
Good,Application-Nice
The app keeps on restarting in middle.,Channels-Quality
Very good,Application-Nice
14 3 1991 13 4 1995,Application-Nice
Good app,Application-Nice
Worst app not skip properly,Application-Worst
I love this app because I enjoy it a lot,Application-Nice
Good,Application-Nice
Why You Remove & TV Channel,Customer care-Query Resolution
Superb,Application-Nice
Facing problems with TV shows.,Application-Nice
Xtreme ly bekar....,Application-Nice
Nice👍👍👍,Application-Nice
Wherygood,Application-Nice
Zee sarthak nehi ara hai,Channels-Quality
খুব খুব ভালো...,Application-Nice
Good bad,Application-Nice
Very bad,Application-Nice
plz recusted you kundali bhagya serioul give me,Application-Nice
Truly enjoyed,Application-Nice
Nice,Application-Nice
The best sarvis,Application-Nice
Keeps on crashing lots of bugs pathetic experience,Channels-Quality
Hi Wtc,Application-Nice
Where is the live tv channels? Worst app I hade this app i don't like it Airtel xstream app is very very bad do not install this app please,Application-Worst
Nee tamil live tv,Application-Worst
Best,Application-Nice
Bad app,Application-Worst
Suparrrrrr,Application-Nice
Surper nice please add sons of anarchy to it.,Application-Nice
Kumkum kumari,Application-Nice
Very nice to Airtel xstream,Application-Nice
Excellent,Application-Nice
Osem experience,Application-Nice
Very good app,Application-Nice
Nice app,Application-Nice
I is good app,Application-Nice
Nice collection of movies and series. I like the picture quality. Most impressed things is all the available content is in best possible quality.,Channels-Quality
Zee TV is not working 😡😡😡,Channels-Quality
Zeetamil,Application-Nice
The video screen does not cast on smart tv,Channels-Quality
😁,Application-Nice
Good,Application-Nice
But live channel not open,Application-Worst
Cartoon ceneel nahi hai,Application-Nice
nice app for shows,Application-Nice
Super,Application-Nice
!hattamam,Application-Nice
Not good,Application-Nice
Wow,Application-Nice
Kick,Application-Nice
Worst app...i want old Airtel TV this app is worst app,Application-Worst
I am not able to see live channels of zee bangla on the app. Please help.,Channels-Quality
No download option available...also poor interface,Channels-Quality
Nice,Application-Nice
Good service 👍,Application-Nice
Z bangla alny prblm,Application-Nice
Z ee bangla not can but any prolm,Channels-Quality
mast app chho ho,Application-Nice
Airtel Xtream💯👌👌👌💕,Application-Nice
Exlent,Application-Nice
Hh,Application-Nice
Very good experience to watch content in this app,Application-Nice
Non stop watching in good video quality,Channels-Quality
Erfft,Application-Nice
Only download free 😂 download mat kor na,Customer care-Query Resolution
Worst experience,Application-Worst
Fraud! All Airtel does is scams! Worst company ever!,Channels-Quality
Very bad,Application-Nice
Nice,Application-Nice
Good,Application-Nice
Nice,Application-Nice
Good,Application-Nice
Not work properly,Application-Worst
Very nice,Application-Nice
Smooth and lag free streaming.,Application-Nice
Why we download this for live channel but after some time channel of live section gone what wrong was that therefore i give one star,Application-Worst
Ji Fariya kevadiya,Application-Nice
Very good experience and I enjoy a lot,Application-Nice
Mind blowing,Application-Nice
Fusssaaaaddddd.,Application-Nice
Awesome,Application-Nice
Good App,Application-Nice
Good,Application-Nice
Kannada channels not show😩,Channels-Quality
"What kind of service are you guys providing with no option to download??? So, pathetic in that sense.",Channels-Quality
Good but in smart TV I have to find live tv. Please make smart TV app like phone where we can find live tv in one separate place. Thanks,Application-Worst
Awesome,Application-Nice
Nice app to watch free webseries and movies.,Application-Nice
Quality good 👍,Application-Nice
Mujhe jayada channel chahiye 1000+channels subscribe free recharge channel,Channels-Channel Navigation
Excellent,Application-Nice
Good app but mobile Date is very fast user,Application-Nice
Good 👍,Application-Nice
Good,Application-Nice
Good,Application-Nice
Very bed network very slow speed in 2 GB net pack,Application-Nice
😟,Application-Nice
Amazing !,Application-Nice
XZ,Application-Nice
Nice app,Application-Nice
This app is amazing for people,Application-Nice
"Extremely poor experience, in original ott there are new contents but with xtream new shows not available. Not searching option also. Why so?",Channels-Quality
Nothing to say about this app 😳,Application-Worst
Cool experience..,Application-Nice
Exllent,Application-Nice
Ok,Application-Nice
Rjtsek,Application-Nice
Good,Application-Nice
Amazing movie collection for free 😍,Application-Nice
Nice,Application-Nice
Very good,Application-Nice
Airtel TV not free. Jio is best,Customer care-Query Resolution
Superb,Application-Nice
Really Great Content!,Application-Nice
Vishu thing good ok k,Application-Nice
Excellent app with informative and entertaining,Application-Nice
Really wonderful. Got all the shows i wanted watch.,Application-Nice
Good,Application-Nice
Superb. Just download and enjoy.,Application-Nice
Free Airtel SIM Airtel TV dekhne Ko Nahin Milta Hai,Customer care-Query Resolution
Superb,Application-Nice
isse aachha jio TV Movies free me de raha hai,Customer care-Query Resolution
Good app,Application-Nice
Disgusting app,Application-Nice
Good,Application-Nice
Very bad too much time taking for opening 😡😡😡😡,Application-Worst
I am a Airtel SIM user this app does not for Airtel custemers. We have to pay ₹140 to watch any channel or movies. Do they think thay are like Netflix or Disney Hotstar. Instead of this app jio tv is much better then Airtel xstream it as free channel and live shows for free of cost.,Packages-Paying without service
Good,Application-Nice
gd,Application-Nice
Please add more live TV channels and improved video quality in app because it stream in standard quality always even if I selected high quality where airtel network is also good other streaming App work fine in HD only xtreme App lag and please add more live TV channels,Channels-Quality
Good,Application-Nice
Nice,Application-Nice
Super,Application-Nice
"Terminated the plan 2 months back, still receiving the bill. And that's not the first time Airtel has been generating revenue my cheap means, stop such dirt!",Application-Disconnection
Nice,Application-Nice
Good,Application-Nice
The app is super for me,Application-Nice
Good experience,Application-Nice
Very poor,Application-Nice
Very nice 👌,Application-Nice
Good,Application-Nice
Not good 🤣🤣🤣,Application-Nice
Excilent,Application-Nice
Good,Application-Nice
Good app,Application-Nice
"Thank you so much sir, I will not need to buy a set box. I will bring your application TV as well.Question: Full channels are not coming in this and if you want us to open the application, then we are ready to pay for it.",Channels-Quality
👌👌👌,Application-Nice
Good,Application-Nice
"It says Device is incompatible, I am shocked as I am using Realme 8 5G latest Android version",Customer care-Query Resolution
"THE WORSSST APP EVER SERIOUSLY I'm having airtel xstream premium still not able to download any movie/series , even the video quality is veryyyyy bad shame on you team airtel , I'm upgrading to jio fiber after such poor service from airtel . No download in any quality available even old movies are not downloadable , the quality suckkks WORST USER EXPERIENCE I WABTED TO RATE IT 0 STARS I hate using airtel nowwww experience sucks even casting feature doesn't work this is worthless",Channels-Quality
Video quality is very poor. Medium and high quality button do not work.,Channels-Quality
If Sony liv application broadcasting PSL then why Sony liv channel in Airtel Xstream app not premiering PSL after subscription after couple of matches?,Channels-Quality
Very good,Application-Nice
I love it.... Amazing,Application-Nice
Hot app,Application-Nice
Good,Application-Nice
Great experience,Application-Nice
Cool,Application-Nice
Nice,Application-Nice
Full of junk in the app like adds and stuff come on atleast for customer put important information so that they can atlest find there bill and services no proper customer service to,Channels-Quality
Good,Application-Nice
No subtitles for english shows/south shows,Application-Worst
మూవీస్ చాలా బాగుంది,Application-Nice
"Quality of video is not up to the mark even we choosed high, it's just feels watching movie in 360p or 240p.",Channels-Quality
"Except for Amazon Prime and Netflix, it is better than other apps.",Application-Nice
Ok,Application-Nice
Best app,Application-Nice
Why Zee cafe not available,Channels-Quality
Good,Application-Nice
As of now it's good,Application-Nice
Good aap,Application-Nice
Netflix add,Application-Nice
Good,Application-Nice
So So... not includes prime & netflix and the major thing is every content is not eligible for download. Yes the content is good for eg dekh bhai dekh like shows which recall your childhood days bt it can be more better.,Application-Nice
कुछ सीखो जियो telecom से वो भी जियो tv free दे रहे हैं और तुम्हें इस घटिया quality के app के लिए भी रुपये चाहिए,Application-Nice
No live chenal,Application-Worst
Good for viewing in short interval,Application-Nice
Osm,Application-Nice
Loving it 👍🏼,Application-Nice
It gets crashed when phone call comes...also many a times episodes doesn't load...we have to close the app 3-4 times then it works properly else only trailer plays irrespective of the episodes selected,Channels-Quality
Super,Application-Nice
Hahut hi achha hai app,Application-Nice
Better than jio,Application-Worst
Nice,Application-Nice
👍,Application-Nice
Please non Airtel user add and you see your growth increase please my advice and non Airtel user provide user id your customer and apko apni soach thoda jio se alag karni hogi 🤔,Customer care-Query Resolution
While watching videos in between calls come after disconcerting the call screen Paused unable to reconnect video vary bad app,Channels-Quality
This is best app in ott platform with lot of content absolutely free on Airtel recharge.,Application-Nice
Super amazing fantastic hd quality and my favourite telegu channel are here,Application-Nice
Excellent,Application-Nice
Nice,Application-Nice
Excellent.....Hoichoi Bangla ❤️,Application-Nice
Nice,Application-Nice
